chrom	start	end	gene	score	strand	interval
chr5	77425969	77620611	ENSG00000164253	0	-	194642
chr9	105244621	105439171	ENSG00000070214	0	+	194550
chr1	101802573	101997030	ENSG00000118733	0	-	194457
chr8	69466623	69660915	ENSG00000137573	0	+	194292
chr6	70667775	70862015	ENSG00000112305	0	+	194240
chr1	204828650	205022822	ENSG00000163531	0	+	194172
chr2	135531454	135725270	ENSG00000048991	0	+	193816
chr12	59596066	59789855	ENSG00000118596	0	+	193789
chr15	80404349	80597937	ENSG00000172379	0	+	193588
chr4	7965309	8158832	ENSG00000163995	0	-	193523
chr16	15949576	16143074	ENSG00000103222	0	+	193498
chr8	122781393	122974512	ENSG00000178764	0	+	193119
chr2	32628031	32821051	ENSG00000018699	0	+	193020
chr6	149218640	149411613	ENSG00000055208	0	+	192973
chr8	66667595	66860472	ENSG00000270024	0	+	192877
chrX	74732848	74925485	ENSG00000050030	0	-	192637
chr7	55019020	55211628	ENSG00000146648	0	+	192608
chr2	173075434	173268010	ENSG00000091436	0	+	192576
chr3	15667235	15859771	ENSG00000206560	0	-	192536
chr15	92617442	92809884	ENSG00000185442	0	-	192442
chr11	32602245	32794658	ENSG00000186714	0	-	192413
chr4	174636913	174829314	ENSG00000145451	0	-	192401
chr2	48962156	49154537	ENSG00000170820	0	-	192381
chr1	169662006	169854080	ENSG00000000460	0	+	192074
chr12	29149102	29340980	ENSG00000064763	0	+	191878
chr11	45929322	46121178	ENSG00000135365	0	-	191856
chr13	32586426	32778019	ENSG00000083642	0	+	191593
chr16	77788529	77980107	ENSG00000171724	0	+	191578
chr12	119685789	119877291	ENSG00000122966	0	-	191502
chr1	42463329	42654664	ENSG00000186409	0	+	191335
chr14	80954988	81146302	ENSG00000165409	0	+	191314
chr7	84995552	85186855	ENSG00000153993	0	-	191303
chr9	120388868	120580170	ENSG00000136861	0	-	191302
chr14	76310613	76501841	ENSG00000119715	0	+	191228
chr13	111114558	111305737	ENSG00000102606	0	+	191179
chr8	142212079	142403240	ENSG00000171045	0	-	191161
chrX	154835787	155026940	ENSG00000185010	0	-	191153
chr11	114059592	114250676	ENSG00000109906	0	+	191084
chr3	193402076	193593111	ENSG00000127249	0	-	191035
chr2	202376935	202567751	ENSG00000204217	0	+	190816
chr15	64165516	64356259	ENSG00000169118	0	-	190743
chr5	140821603	141012344	ENSG00000204965	0	+	190741
chr16	15434294	15625028	ENSG00000166780	0	+	190734
chr6	116254172	116444860	ENSG00000111817	0	+	190688
chr6	47878027	48068689	ENSG00000244694	0	-	190662
chr12	64507000	64697567	ENSG00000153179	0	+	190567
chr11	47980557	48170841	ENSG00000149177	0	+	190284
chrX	118495897	118686163	ENSG00000147251	0	+	190266
chr14	80197526	80387757	ENSG00000211448	0	-	190231
chr8	73688690	73878854	ENSG00000258677	0	-	190164
chr2	164653623	164843679	ENSG00000082438	0	-	190056
chr10	84328585	84518521	ENSG00000107771	0	+	189936
chr2	53670292	53860160	ENSG00000270898	0	-	189868
chr8	86553976	86743675	ENSG00000170289	0	-	189699
chr5	36876758	37066413	ENSG00000164190	0	+	189655
chr6	118959762	119149387	ENSG00000111879	0	-	189625
chr8	60678777	60868028	ENSG00000171316	0	+	189251
chr3	101324204	101513241	ENSG00000138468	0	-	189037
chr17	16029156	16218185	ENSG00000141027	0	-	189029
chr1	179365719	179554735	ENSG00000162779	0	+	189016
chr3	28349145	28538122	ENSG00000206559	0	+	188977
chr2	3188924	3377882	ENSG00000032389	0	-	188958
chr7	121873088	122062036	ENSG00000106278	0	+	188948
chr4	74114173	74303099	ENSG00000163738	0	+	188926
chr7	91692007	91880720	ENSG00000127989	0	-	188713
chr8	91209493	91398152	ENSG00000147606	0	+	188659
chr14	73275106	73463642	ENSG00000133961	0	-	188536
chr10	121740420	121928801	ENSG00000107669	0	-	188381
chr3	8775401	8963773	ENSG00000070950	0	-	188372
chr2	68467560	68655862	ENSG00000169621	0	+	188302
chr4	98470366	98658629	ENSG00000168785	0	-	188263
chr6	3268961	3457022	ENSG00000137266	0	-	188061
chr1	54225431	54413479	ENSG00000157216	0	-	188048
chr2	39249265	39437312	ENSG00000011566	0	-	188047
chr15	25677272	25865172	ENSG00000206190	0	-	187900
chr10	96998037	97185920	ENSG00000187122	0	-	187883
chr8	30384478	30572261	ENSG00000157110	0	+	187783
chr12	130953906	131141469	ENSG00000111452	0	+	187563
chr4	88521047	88708542	ENSG00000138641	0	+	187495
chr11	22625641	22813055	ENSG00000148935	0	+	187414
chr16	20610242	20797581	ENSG00000005187	0	+	187339
chr16	77247812	77435114	ENSG00000140873	0	-	187302
chr5	88717116	88904257	ENSG00000081189	0	-	187141
chr5	131807142	131994278	ENSG00000281938	0	-	187136
chr8	47773107	47960183	ENSG00000253729	0	-	187076
chr3	12004401	12191400	ENSG00000157152	0	+	186999
chr4	153152341	153339320	ENSG00000109654	0	+	186979
chr10	27812163	27999048	ENSG00000169126	0	-	186885
chr1	244454376	244641177	ENSG00000179397	0	+	186801
chr2	28457144	28643788	ENSG00000163803	0	+	186644
chrX	67544031	67730619	ENSG00000169083	0	+	186588
chrX	85861179	86047562	ENSG00000188419	0	-	186383
chrX	106813870	107000244	ENSG00000133131	0	-	186374
chr6	24171755	24358052	ENSG00000146038	0	-	186297
chr2	237627575	237813682	ENSG00000124831	0	+	186107
chr8	76681218	76867285	ENSG00000091656	0	+	186067
chr6	147204424	147390476	ENSG00000164506	0	+	186052
chr5	122843438	123029354	ENSG00000064652	0	+	185916
chr13	99200773	99386434	ENSG00000134882	0	+	185661
chr3	134065302	134250744	ENSG00000163785	0	-	185442
chr4	73073375	73258798	ENSG00000132466	0	-	185423
chr7	24796538	24981634	ENSG00000070882	0	-	185096
chr5	119452442	119637199	ENSG00000133835	0	+	184757
chr6	111299027	111483715	ENSG00000009413	0	-	184688
chrX	84317873	84502479	ENSG00000165259	0	-	184606
chr5	140827957	141012344	ENSG00000081842	0	+	184387
chr8	107899315	108083648	ENSG00000147655	0	-	184333
chr1	184790723	184974550	ENSG00000135842	0	-	183827
chr14	56117813	56301526	ENSG00000139946	0	+	183713
chr2	236324146	236507542	ENSG00000132321	0	-	183396
chr9	70043580	70226970	ENSG00000165072	0	+	183390
chr13	51584454	51767707	ENSG00000139668	0	+	183253
chr6	7881521	8064364	ENSG00000259040	0	-	182843
chr15	39600030	39782830	ENSG00000150667	0	-	182800
chr7	86876905	87059699	ENSG00000164659	0	-	182794
chr14	59188645	59371405	ENSG00000100592	0	+	182760
chr6	138161920	138344663	ENSG00000112379	0	+	182743
chr2	69644424	69827100	ENSG00000196975	0	+	182676
chr6	10747793	10930423	ENSG00000272162	0	+	182630
chr9	112486846	112669397	ENSG00000165185	0	+	182551
chr7	66628957	66811459	ENSG00000284461	0	+	182502
chr4	98261383	98443861	ENSG00000138698	0	+	182478
chr14	75902135	76084585	ENSG00000119650	0	+	182450
chr5	141330570	141512981	ENSG00000204956	0	+	182411
chr16	64943752	65126112	ENSG00000140937	0	-	182360
chr3	138652698	138834938	ENSG00000051382	0	-	182240
chr3	135965672	136147891	ENSG00000073711	0	+	182219
chr15	42738733	42920809	ENSG00000128881	0	-	182076
chr6	45898450	46080395	ENSG00000112782	0	-	181945
chr5	35048755	35230589	ENSG00000113494	0	-	181834
chr5	154038905	154220478	ENSG00000037749	0	+	181573
chr12	118981494	119163051	ENSG00000139767	0	+	181557
chr11	121452202	121633693	ENSG00000137642	0	+	181491
chr3	185643738	185825056	ENSG00000073792	0	-	181318
chr2	99141484	99322741	ENSG00000241962	0	+	181257
chr4	7758713	7939926	ENSG00000196526	0	-	181213
chr4	168356734	168537786	ENSG00000181381	0	-	181052
chr4	145757626	145938635	ENSG00000151612	0	-	181009
chr2	166195184	166375993	ENSG00000169432	0	-	180809
chr8	108606849	108787615	ENSG00000164841	0	-	180766
chr4	17841198	18021876	ENSG00000178177	0	-	180678
chr5	168291650	168472303	ENSG00000113645	0	+	180653
chr5	50665898	50846522	ENSG00000151883	0	+	180624
chr17	799312	979770	ENSG00000167693	0	-	180458
chr14	88612430	88792752	ENSG00000165521	0	-	180322
chr9	113876281	114056591	ENSG00000157657	0	+	180310
chr5	109689365	109869625	ENSG00000112893	0	+	180260
chr5	157395533	157575775	ENSG00000135074	0	-	180242
chr4	102251040	102431258	ENSG00000138821	0	-	180218
chr2	191245184	191425389	ENSG00000128641	0	+	180205
chr9	126326848	126507041	ENSG00000196814	0	+	180193
chrX	110002630	110182734	ENSG00000157600	0	+	180104
chr5	5140329	5320304	ENSG00000145536	0	+	179975
chr12	106582906	106762803	ENSG00000111783	0	+	179897
chrX	155490114	155669944	ENSG00000185973	0	-	179830
chr7	80742537	80922359	ENSG00000075223	0	-	179822
chr9	72900661	73080442	ENSG00000165092	0	-	179781
chr10	22534848	22714555	ENSG00000150867	0	-	179707
chr7	7356202	7535853	ENSG00000215018	0	-	179651
chr6	93240019	93419547	ENSG00000135333	0	-	179528
chr12	103587272	103766727	ENSG00000136011	0	+	179455
chr16	69762305	69941741	ENSG00000198373	0	+	179436
chr14	92936913	93116320	ENSG00000100605	0	-	179407
chr17	29929199	30108452	ENSG00000176927	0	+	179253
chr4	150078273	150257457	ENSG00000170390	0	+	179184
chr4	26576436	26755351	ENSG00000109680	0	+	178915
chr14	92322580	92501483	ENSG00000140090	0	+	178903
chr10	127907060	128085855	ENSG00000132334	0	+	178795
chr7	95035730	95214332	ENSG00000236197	0	-	178602
chr10	116671191	116849741	ENSG00000165868	0	-	178550
chr7	549196	727650	ENSG00000188191	0	-	178454
chr2	23748663	23927114	ENSG00000119778	0	-	178451
chr2	156435289	156613735	ENSG00000115159	0	+	178446
chr12	45729664	45908040	ENSG00000189079	0	+	178376
chr2	142877497	143055832	ENSG00000115919	0	+	178335
chr13	48303750	48481986	ENSG00000139687	0	+	178236
chr14	69854130	70032366	ENSG00000198732	0	+	178236
chr5	140834247	141012344	ENSG00000204963	0	+	178097
chr8	39106989	39284911	ENSG00000197140	0	+	177922
chr8	124550789	124728429	ENSG00000170873	0	-	177640
chr5	77691165	77868780	ENSG00000171530	0	-	177615
chr2	206443538	206621130	ENSG00000114948	0	+	177592
chr8	129839592	130017129	ENSG00000153310	0	-	177537
chrX	56818297	56995827	ENSG00000204271	0	-	177530
chr13	60396456	60573878	ENSG00000083544	0	+	177422
chr11	14904996	15082342	ENSG00000175868	0	+	177346
chr12	26121990	26299290	ENSG00000123096	0	+	177300
chr8	101492431	101669726	ENSG00000083307	0	+	177295
chr12	57253761	57431005	ENSG00000179912	0	-	177244
chr6	89642498	89819723	ENSG00000112159	0	-	177225
chr8	119873716	120050913	ENSG00000155792	0	+	177197
chr2	181954240	182131398	ENSG00000150722	0	+	177158
chr2	149038106	149215262	ENSG00000150556	0	+	177156
chr2	85133409	85310388	ENSG00000152284	0	+	176979
chr6	6144084	6321013	ENSG00000124491	0	-	176929
chr10	124984316	125161170	ENSG00000175029	0	-	176854
chr4	169094255	169271105	ENSG00000154447	0	-	176850
chr1	48295371	48472208	ENSG00000132122	0	-	176837
chr2	100820151	100996829	ENSG00000170485	0	+	176678
chrX	49922614	50099235	ENSG00000171365	0	+	176621
chr4	125316398	125492932	ENSG00000196159	0	+	176534
chr5	34656236	34832627	ENSG00000039560	0	+	176391
chr2	200305880	200482263	ENSG00000196141	0	+	176383
chr9	14734665	14910995	ENSG00000164946	0	-	176330
chr2	231198545	231374837	ENSG00000135931	0	+	176292
chr2	174072446	174248698	ENSG00000138430	0	-	176252
chr10	86756600	86932838	ENSG00000107779	0	+	176238
chr1	86993008	87169204	ENSG00000267561	0	+	176196
chr6	55106459	55282620	ENSG00000137252	0	+	176161
chr11	43680557	43856617	ENSG00000149084	0	+	176060
chr3	12897219	13073117	ENSG00000144711	0	-	175898
chr12	5948873	6124770	ENSG00000110799	0	-	175897
chr10	93306428	93482317	ENSG00000138119	0	-	175889
chr14	81260655	81436465	ENSG00000140022	0	-	175810
chr3	167478683	167653983	ENSG00000174776	0	-	175300
chr11	74493850	74669117	ENSG00000077514	0	+	175267
chr1	100345024	100520277	ENSG00000079335	0	+	175253
chr14	92513773	92688994	ENSG00000100599	0	+	175221
chr17	17042544	17217679	ENSG00000133030	0	+	175135
chr15	51447710	51622833	ENSG00000104093	0	-	175123
chr5	127290830	127465737	ENSG00000145794	0	+	174907
chr15	57375966	57550727	ENSG00000128849	0	+	174761
chr10	124617079	124791727	ENSG00000258539	0	-	174648
chr1	111542217	111716691	ENSG00000116473	0	+	174474
chr4	46734826	46909235	ENSG00000170516	0	-	174409
chr4	6026198	6200591	ENSG00000152969	0	-	174393
chr11	66070362	66244747	ENSG00000175115	0	+	174385
chr8	28890393	29064764	ENSG00000147421	0	+	174371
chrX	63634966	63809274	ENSG00000131089	0	-	174308
chr5	141338759	141512979	ENSG00000081853	0	+	174220
chr4	24806116	24980204	ENSG00000181982	0	-	174088
chr12	123762187	123936206	ENSG00000197653	0	+	174019
chr9	13105703	13279590	ENSG00000107186	0	-	173887
chr17	212388	386254	ENSG00000181031	0	-	173866
chr7	47774651	47948491	ENSG00000158683	0	-	173840
chr11	89324355	89498187	ENSG00000086991	0	-	173832
chr10	66926005	67099830	ENSG00000198739	0	+	173825
chr9	130713945	130887675	ENSG00000097007	0	+	173730
chr3	57755449	57929168	ENSG00000163681	0	+	173719
chr6	82892397	83065841	ENSG00000118420	0	-	173444
chr9	89005770	89178767	ENSG00000148082	0	-	172997
chr15	33866226	34039176	ENSG00000169857	0	-	172950
chr1	154697454	154870280	ENSG00000143603	0	-	172826
chr14	99971448	100144236	ENSG00000196405	0	+	172788
chr13	97221433	97394120	ENSG00000139793	0	+	172687
chr6	119177208	119349761	ENSG00000111885	0	-	172553
chr12	40196743	40369285	ENSG00000188906	0	+	172542
chr15	80779342	80951776	ENSG00000103888	0	+	172434
chr3	64515653	64688000	ENSG00000163638	0	-	172347
chr2	160099665	160271888	ENSG00000115221	0	-	172223
chr1	74026014	74198187	ENSG00000162620	0	-	172173
chr12	27523430	27695564	ENSG00000110841	0	+	172134
chr14	63371356	63543374	ENSG00000154001	0	-	172018
chr2	31867808	32039812	ENSG00000162961	0	-	172004
chr10	102918292	103090221	ENSG00000148842	0	+	171929
chr3	111674675	111846447	ENSG00000240891	0	+	171772
chr15	83447227	83618743	ENSG00000140600	0	+	171516
chr5	52787895	52959210	ENSG00000213949	0	+	171315
chr2	151802650	151973949	ENSG00000283228	0	-	171299
chr5	140841186	141012344	ENSG00000204962	0	+	171158
chr4	22345070	22516054	ENSG00000152990	0	-	170984
chr1	10210804	10381603	ENSG00000054523	0	+	170799
chr1	228208129	228378874	ENSG00000154358	0	+	170745
chr1	183248236	183418602	ENSG00000157064	0	-	170366
chr4	153466345	153636711	ENSG00000121210	0	+	170366
chr6	75749191	75919537	ENSG00000196586	0	+	170346
chr8	99960935	100131268	ENSG00000132554	0	-	170333
chr11	94706430	94876753	ENSG00000166025	0	+	170323
chr6	107489957	107660167	ENSG00000112320	0	+	170210
chr4	2071917	2242121	ENSG00000130997	0	-	170204
chr8	67173510	67343677	ENSG00000066777	0	-	170167
chr7	91940866	92110673	ENSG00000127914	0	+	169807
chr12	126191262	126361065	ENSG00000255595	0	+	169803
chr12	75040076	75209868	ENSG00000166006	0	-	169792
chr11	12094007	12263789	ENSG00000133816	0	+	169782
chr17	27456713	27626438	ENSG00000141068	0	+	169725
chr8	90621994	90791632	ENSG00000180694	0	-	169638
chr12	80209452	80379090	ENSG00000165899	0	+	169638
chr4	37453940	37623495	ENSG00000154274	0	+	169555
chr2	1374222	1543711	ENSG00000115705	0	+	169489
chr9	127224264	127393660	ENSG00000136895	0	+	169396
chr4	82629538	82798857	ENSG00000145284	0	-	169319
chr5	39105235	39274528	ENSG00000082074	0	-	169293
chr15	76059836	76229121	ENSG00000169758	0	+	169285
chr4	3074680	3243959	ENSG00000197386	0	+	169279
chr9	101569352	101738580	ENSG00000198785	0	-	169228
chr5	141343828	141512979	ENSG00000254245	0	+	169151
chr11	36296287	36465204	ENSG00000135362	0	+	168917
chr11	35251205	35420063	ENSG00000110436	0	-	168858
chr1	25617467	25786207	ENSG00000117643	0	+	168740
chr5	75068274	75236878	ENSG00000145700	0	-	168604
chr2	11179760	11348330	ENSG00000134318	0	-	168570
chr3	30726199	30894765	ENSG00000144644	0	-	168566
chr3	195274735	195443078	ENSG00000114331	0	-	168343
chr9	130265881	130434123	ENSG00000148357	0	+	168242
chr8	69667046	69835064	ENSG00000137571	0	-	168018
chr7	17299294	17467234	ENSG00000283321	0	+	167940
chr2	214411064	214578959	ENSG00000174453	0	+	167895
chr8	97868839	98036716	ENSG00000132561	0	+	167877
chr8	90791549	90959408	ENSG00000123119	0	+	167859
chr8	109362476	109530330	ENSG00000205038	0	+	167854
chr6	52362122	52529886	ENSG00000096093	0	+	167764
chr8	74321129	74488872	ENSG00000104381	0	+	167743
chr4	26857677	27025381	ENSG00000109689	0	+	167704
chr3	36380343	36548007	ENSG00000144681	0	+	167664
chr1	65248218	65415869	ENSG00000116675	0	+	167651
chrX	13771030	13938638	ENSG00000046653	0	-	167608
chr11	63998557	64166106	ENSG00000133315	0	-	167549
chr3	123282295	123449758	ENSG00000173175	0	-	167463
chr5	177133024	177300215	ENSG00000165671	0	+	167191
chr5	14704803	14871778	ENSG00000154122	0	-	166975
chr8	85987322	86154228	ENSG00000147614	0	+	166906
chr15	55826921	55993746	ENSG00000069869	0	-	166825
chr17	46590668	46757464	ENSG00000073969	0	+	166796
chr4	5542771	5709548	ENSG00000173040	0	-	166777
chr2	177392643	177559299	ENSG00000018510	0	+	166656
chr12	122983479	123150015	ENSG00000090975	0	-	166536
chr1	225486834	225653142	ENSG00000154380	0	-	166308
chr14	101761797	101927989	ENSG00000078304	0	+	166192
chrX	71366238	71532374	ENSG00000147133	0	+	166136
chr3	130850594	131016712	ENSG00000017260	0	+	166118
chr2	120013004	120179119	ENSG00000115109	0	+	166115
chr16	56191346	56357457	ENSG00000087258	0	+	166111
chr4	185204236	185370185	ENSG00000109762	0	+	165949
chr15	65726053	65891991	ENSG00000103769	0	+	165938
chr11	76860866	77026797	ENSG00000078124	0	+	165931
chr10	97864999	98030828	ENSG00000095713	0	-	165829
chrX	54192822	54358642	ENSG00000196632	0	-	165820
chr1	2635975	2801717	ENSG00000215912	0	-	165742
chr1	149390622	149556361	ENSG00000271383	0	+	165739
chr3	189956727	190122437	ENSG00000090530	0	-	165710
chrX	47836901	48002561	ENSG00000197779	0	+	165660
chr9	74722494	74888094	ENSG00000119121	0	-	165600
chr1	198156962	198322420	ENSG00000151414	0	+	165458
chr14	91060332	91225632	ENSG00000133943	0	+	165300
chr9	110873262	111038458	ENSG00000198121	0	-	165196
chr2	177227594	177392697	ENSG00000116044	0	-	165103
chr1	51354262	51519328	ENSG00000085832	0	-	165066
chr15	63907035	64072033	ENSG00000035664	0	-	164998
chr10	94688153	94853073	ENSG00000276490	0	+	164920
chr5	140847462	141012344	ENSG00000204961	0	+	164882
chr8	71197432	71362232	ENSG00000104313	0	-	164800
chr16	14974590	15139339	ENSG00000179889	0	+	164749
chr6	163413999	163578596	ENSG00000112531	0	+	164597
chr6	17393215	17557792	ENSG00000112186	0	+	164577
chr13	45120514	45284909	ENSG00000188342	0	+	164395
chr3	132558141	132722459	ENSG00000274810	0	-	164318
chr9	122940832	123104866	ENSG00000011454	0	+	164034
chr1	169921325	170085208	ENSG00000075945	0	-	163883
chr3	58008399	58172251	ENSG00000136068	0	+	163852
chr16	11359844	11523588	ENSG00000188897	0	-	163744
chr10	96832259	96995959	ENSG00000196233	0	+	163700
chr2	226835580	226999215	ENSG00000144468	0	+	163635
chr1	232397964	232561558	ENSG00000116991	0	-	163594
chr7	117710650	117874139	ENSG00000077063	0	-	163489
chr9	131576769	131740074	ENSG00000107263	0	-	163305
chr2	232697298	232860575	ENSG00000204120	0	+	163277
chr9	132410042	132573317	ENSG00000188523	0	+	163275
chr15	42942896	43106113	ENSG00000159459	0	-	163217
chr2	42169349	42332548	ENSG00000143924	0	+	163199
chr4	2462219	2625320	ENSG00000063978	0	+	163101
chr2	179101691	179264790	ENSG00000187231	0	-	163099
chr5	126867713	127030808	ENSG00000173926	0	-	163095
chrX	9786455	9949443	ENSG00000146950	0	+	162988
chr5	162000056	162162977	ENSG00000113327	0	+	162921
chr5	141350101	141512979	ENSG00000254221	0	+	162878
chr16	3953386	4116185	ENSG00000162104	0	-	162799
chr7	130506237	130668748	ENSG00000158623	0	-	162511
chr1	153992684	154155116	ENSG00000143552	0	-	162432
chr10	69801930	69964275	ENSG00000197467	0	+	162345
chr14	56488353	56650606	ENSG00000070269	0	+	162253
chr10	46375626	46537864	ENSG00000264230	0	+	162238
chr8	79918859	80080775	ENSG00000276418	0	-	161916
chr12	79773562	79935460	ENSG00000058272	0	-	161898
chr4	157204181	157366075	ENSG00000120251	0	+	161894
chr11	86791058	86952910	ENSG00000150687	0	+	161852
chr7	20615206	20777038	ENSG00000004846	0	+	161832
chr2	195575976	195737702	ENSG00000196950	0	+	161726
chr7	5620046	5781739	ENSG00000011275	0	-	161693
chr4	128061267	128222931	ENSG00000138709	0	+	161664
chr7	134986507	135147963	ENSG00000146856	0	+	161456
chr17	29390463	29551904	ENSG00000160551	0	+	161441
chr1	117367448	117528872	ENSG00000198162	0	+	161424
chr2	227002710	227164113	ENSG00000081052	0	-	161403
chr12	12049843	12211084	ENSG00000121380	0	+	161241
chr15	58588806	58749978	ENSG00000137845	0	-	161172
chr11	77659995	77821017	ENSG00000048649	0	-	161022
chr3	45388505	45549421	ENSG00000011376	0	+	160916
chr13	30456703	30617597	ENSG00000189403	0	-	160894
chr12	49366583	49527424	ENSG00000123352	0	+	160841
chr12	105235289	105396097	ENSG00000235162	0	+	160808
chr3	99638474	99799226	ENSG00000144810	0	+	160752
chr2	70607617	70768225	ENSG00000075340	0	-	160608
chr5	179911650	180072118	ENSG00000113269	0	-	160468
chr2	11482340	11642788	ENSG00000196208	0	+	160448
chr1	84078061	84238498	ENSG00000142875	0	+	160437
chr7	23310208	23470467	ENSG00000136231	0	-	160259
chr2	144364363	144524583	ENSG00000169554	0	-	160220
chr15	31001060	31161273	ENSG00000134160	0	-	160213
chr1	179954737	180114880	ENSG00000135837	0	+	160143
chr14	89794668	89954777	ENSG00000140025	0	-	160109
chr2	165989159	166149214	ENSG00000144285	0	-	160055
chr2	154698298	154858352	ENSG00000162989	0	+	160054
chr1	10636603	10796650	ENSG00000130940	0	-	160047
chr3	49940006	50100045	ENSG00000004534	0	+	160039
chr1	186828952	186988981	ENSG00000116711	0	+	160029
chr2	46916156	47076137	ENSG00000068724	0	+	159981
chrX	46599251	46759172	ENSG00000065923	0	-	159921
chr3	108958238	109118142	ENSG00000114487	0	-	159904
chr8	102253011	102412841	ENSG00000104517	0	-	159830
chr16	74447426	74607144	ENSG00000090863	0	-	159718
chr3	155024123	155183729	ENSG00000196549	0	+	159606
chr10	15211642	15371062	ENSG00000148468	0	-	159420
chr2	229763837	229923239	ENSG00000153827	0	-	159402
chr2	47402968	47562311	ENSG00000095002	0	+	159343
chr1	42176538	42335877	ENSG00000198815	0	-	159339
chr15	58410568	58569843	ENSG00000166035	0	+	159275
chr13	23730188	23889419	ENSG00000027001	0	-	159231
chr9	123109499	123268576	ENSG00000165209	0	-	159077
chr15	100919214	101078254	ENSG00000154237	0	+	159040
chr11	108308518	108467531	ENSG00000166323	0	-	159013
chr12	94148722	94307675	ENSG00000136040	0	+	158953
chr8	75407913	75566843	ENSG00000164749	0	+	158930
chr1	77979541	78138449	ENSG00000137960	0	+	158908
chr12	752592	911452	ENSG00000060237	0	+	158860
chr1	204218850	204377665	ENSG00000143850	0	-	158815
chr11	122655674	122814473	ENSG00000154127	0	+	158799
chr10	33177491	33336262	ENSG00000099250	0	-	158771
chr7	77798791	77957503	ENSG00000006576	0	+	158712
chr15	84980439	85139145	ENSG00000073417	0	+	158706
chr12	92770636	92929331	ENSG00000102189	0	-	158695
chr17	50962173	51120865	ENSG00000008294	0	-	158692
chr2	71276560	71435069	ENSG00000075292	0	+	158509
chr11	74012713	74171210	ENSG00000168014	0	-	158497
chr1	10472287	10630758	ENSG00000142655	0	+	158471
chr17	28455751	28614197	ENSG00000258472	0	-	158446
chrX	27590381	27748821	ENSG00000189186	0	+	158440
chr6	5102592	5260939	ENSG00000214113	0	-	158347
chr12	3606632	3764819	ENSG00000130038	0	-	158187
chr13	110148962	110307149	ENSG00000187498	0	-	158187
chr3	123067061	123225227	ENSG00000065485	0	+	158166
chr1	119911552	120069626	ENSG00000134250	0	-	158074
chr1	17539834	17697874	ENSG00000074964	0	+	158040
chr5	141355024	141512979	ENSG00000262576	0	+	157955
chr10	95711778	95869695	ENSG00000138185	0	+	157917
chr5	24487099	24644978	ENSG00000040731	0	-	157879
